product_id,gender,category,article_type,base_colour,occasion,available_sizes,pattern,sleeve_type,neck_type,material,style,description,price,image_path
P406,Women,Topwear,Cardigan,Blue,Casual,"S, M, L, XL",Solid,Full Sleeve,Open Front,Cotton Blend,Longline,"Women's blue longline open-front knit cardigan with two patch pockets. Relaxed fit, perfect for layering over turtlenecks or tops.",6620,Images/P406.jpg
P407,Women,Bottomwear,Jeans,Red,Casual,"S, M, L, XL",Solid,NA,NA,Rayon,Wide Leg,Women's red wide-leg palazzo pants with elasticated high waistband and pleated front. Flowy and comfortable silhouette.,2690,Images/P407.jpg
P408,Women,Ethnic,Lehenga Choli,Peach,Party and Wedding,"S, M, L, XL",Floral Embroidered,Sleeveless,Round Neck,Net,Traditional,Women's peach floral embroidered lehenga choli set with matching net dupatta. Features intricate thread and sequin work on blouse and skirt.,3370,Images/P408.jpg
P409,Women,Loungewear,Co-ord Set,Grey,Casual,"S, M, L, XL/XXL",Tie-Dye,Short Sleeve,Round Neck,Cotton,Relaxed Fit,Women's grey and white tie-dye co-ord set featuring a short-sleeve t-shirt with side drawstring and matching wide-leg pants with pockets.,800,Images/P409.jpg
P410,Women,Ethnic Wear,Kurta Set with Dupatta,White,Party and Wedding,"S, M, L, XL, XXL",Block Print,Three-Quarter Sleeves,Round Neck,Cotton,Traditional,"White cotton kurta set featuring multicolour block print motifs in pink, blue and green tones with a round neckline, buttoned placket, three-quarter sleeves, matching palazzo pants and coordinating printed dupatta.",1590,Images/P410.jpg
P411,Women,Western Wear,Jeans,Dark Green,Casual,"S, M, L, XL, XXL",Solid,Sleeveless,N/A,Cotton Denim,Casual,"Dark green high-waisted straight-fit jeans with exposed double-button fly, classic five-pocket styling and raw frayed hem. Pairs well with sneakers or boots.",3640,Images/P411.jpg
P412,Women,Western Wear,Top,White,Party,"XS, S, M, L, XL",Solid,One Long Sleeve,Asymmetric One-Shoulder,Crepe,Contemporary,White one-shoulder asymmetric top with a gathered puffed long sleeve on one side and a bare shoulder on the other. Relaxed fit with a curved hemline.,1760,Images/P412.jpg
P413,Women,Ethnic Wear,Lehenga Choli,Cream,Party and Wedding,"S, M, L, XL/XXL",Floral Embroidery,Sleeveless,Round Neck,Silk and Net,Traditional,"Cream silk lehenga skirt with intricate gold and pink floral embroidery, paired with a pink blouse and a pink net dupatta bordered with gold zari work. Ideal for weddings and festive celebrations.",4950,Images/P413.jpg
P414,Women,Ethnic Wear,Saree,Pink,Party and Wedding,Free Size,Woven Floral,N/A,N/A,Silk,Traditional,"Pink and cream silk saree with elaborate woven floral and foliage motifs in gold zari, featuring a wide ornate gold border and matching blouse piece.",1990,Images/P414.jpg
P415,Women,Ethnic,Kurta ,Black,Party and Wedding,"S, M, L, XL, XXL",Solid with Striped Dupatta,Three-Quarter,Mandarin Collar,Cotton,Traditional,"Black cotton kurta with mandarin collar and button closures, paired with a multicoloured dupatta featuring yellow, orange, and coral wavy stripes on a white base.",930,Images/P415.jpg
P416,Women,Western,Pencil Skirt,Maroon,Formal,"XS, S, M, L, XL/XXXXL",Solid,Sleeveless,N/A,Polyester Blend,Bodycon,"Maroon textured pencil skirt with a fitted silhouette, hitting just above the knee. Features a smooth waistband and stretch fabric for a flattering fit.",3860,Images/P416.jpg
P417,Women,Ethnic,Kurta,Lavender,Party and Wedding,"S, M, L, XL, XXL",Floral Print,Three-Quarter,V-Neck,Cotton,Traditional,"Lavender cotton kurta with all-over floral print, paired with matching lavender pants and a dupatta featuring red, blue, and orange stripes with a paisley border.",960,Images/P417.jpg
P418,Women,Western,Full-Zip Jacket,Black,Casual,"XS, S, M, L, XL",Solid,Full Sleeve,Mock Collar,Fleece,Athleisure,"Black fleece full-zip jacket with mock collar, silver-toned zipper with ring pull, kangaroo pockets, and Agilitica branding on the left chest.",1400,Images/P418.jpg
P419,Unisex,Western,Sweatshirt,Green,Casual,"S, M, L, XL, XXL",Color Block,Full Sleeve,Round Neck,Cotton Fleece,Streetwear,"Green, white, and magenta color-block sweatshirt with 'GROW WITH THE FLOW' text on the chest, kangaroo pocket, and ribbed cuffs and hem.",3270,Images/P419.jpg
P420,Women,Ethnic Wear,Kurta,White,Party and Wedding,"S, M, L, XL, XXL",Floral Embroidered,Three-Quarter Sleeves,Mandarin Collar with Keyhole,Cotton,Straight Fit,"A white cotton kurta featuring intricate red and black floral embroidery on the upper left shoulder area. The kurta has a mandarin collar with a front slit, three-quarter sleeves, and a relaxed straight fit. Subtle self-stripes run vertically throughout the fabric.",840,Images/P420.jpg
P421,Women,Western Wear,Puffer Jacket,Brown,Casual,"XS, S, M, L, XL",Solid,Full Sleeves,Stand Collar,Polyester,Oversized,"A long brown puffer jacket with an oversized silhouette. Features a high stand collar, full-front zip closure with snap buttons, quilted diagonal stitching pattern, and mid-thigh length. Perfect for cold weather layering.",3770,Images/P421.jpg
P422,Women,Ethnic Wear,Jeans,Brown,Casual,"S, M, L, XL",Solid,NA,NA,Art Silk,Wide Leg,"Brown shimmer palazzo pants with a wide-leg silhouette and elasticated waistband. The fabric has a subtle metallic sheen, making it ideal for festive and party occasions. Flows elegantly with a relaxed fit.",1400,Images/P422.jpg
P423,Women,Western Wear,Shirt,Black,Casual,"XS, S, M, L, XL, XXL",Plaid,Full Sleeves,Spread Collar,Cotton,Oversized,"An oversized black and white plaid flannel shirt with a classic spread collar, front button closure, and a chest pocket. The shirt has a relaxed, boyfriend-style fit and can be worn open as a layering piece or buttoned up.",1480,Images/P423.jpg
P424,Women,Ethnic Wear,Lehenga Choli Set,Blue,Party and Wedding,"S, M, L, XL/XXXXL",Embroidered,Full Sleeves,Round Neck,Silk Blend,A-Line,"A navy blue lehenga choli set with gold embellishments. The long-sleeved choli features gold grid-pattern embroidery, the flared lehenga skirt has horizontal gold stripe details, and the set includes a matching net dupatta with gold lace border.",950,Images/P424.jpg
P425,Women,Western Wear,Jacket,Blue,Casual,"XS, S, M, L, XL/XXXL",Solid,Full Sleeves,Collar,Cotton Denim,Casual,"Light blue denim jacket with buttoned front closure, collar neck, two button-flap chest pockets, and metal buttons. Cropped fit, perfect for layering over casual outfits.",4980,Images/P425.jpg
P426,Women,Western Wear,Cardigan,Brown,Casual,"S, M, L, XL/XXL",Geometric,Full Sleeves,Round,Cotton Blend,Bohemian,"Brown open-front cardigan with tribal-inspired geometric print featuring diamonds, zigzags, and arrow motifs in white and beige. Ribbed cuffs and hem in solid dark brown.",1170,Images/P426.jpg
P427,Women,Western Wear,Skirt,Black,Casual,"XS, S, M, L, XL/XXXL",Floral,NA,NA,Polyester,Casual,Black A-line mini skirt with all-over floral print in shades of blue and yellow. Features a pleated/tiered design with a flat waistband for a flared silhouette.,570,Images/P427.jpg
P428,Women,Western Wear,Top,Pink,Party,"XS, S, M, L",Solid,Sleeveless,Off-Shoulder,Crepe,Contemporary,"Coral pink off-shoulder fitted Top with dramatic ruffled neckline. Features princess seam detailing for a structured, body-hugging silhouette. Ideal for parties and cocktail events.",3100,Images/P428.jpg
P429,Women,Ethnic Wear,Kurta,Red,Party and Wedding,"S, M, L, XL, XXL",Striped,Three-Quarter Sleeves,Split Round,Cotton,Ethnic,"Red cotton kurta with multicoloured vertical stripe pattern. Features a front button placket with wooden buttons, three-quarter sleeves with rolled cuffs, and a relaxed A-line silhouette with side slits.",3740,Images/P429.jpg
P430,Women,Bottomwear,Jeans,Navy Blue,Casual,"XS, S, M, L, XL",Solid,NA,NA,Cotton Denim,Wide-Leg,"Dark indigo wide-leg jeans with contrast gold stitching, high waist, button closure, and raw frayed hem. Classic denim styling with a modern relaxed silhouette.",4870,Images/P430.jpg
P431,Women,Ethnic Wear,Saree,Teal Blue,Party and Wedding,Free Size/XXXL,Solid,NA,NA,Silk,Traditional,"Elegant teal blue silk saree with embroidered gold border trim, paired with a matching V-neck blouse with elbow-length sleeves. Luxurious drape suitable for festive and party occasions.",3560,Images/P431.jpg
P432,Women,Bottomwear,Jeans,Olive Green,Casual,"XS, S, M, L, XL/XXL",Printed,NA,NA,Cotton,Casual,"Olive green jogger pants with small black triangle print, elasticated ankle cuffs, high waist with pleated front. Relaxed fit for everyday casual wear.",2130,Images/P432.jpg
P433,Women,Bottomwear,Jeans,Light Blue,Casual,"XS, S, M, L, XL/XXXXL",Colorblocked,NA,NA,Cotton Denim,Wide-Leg,"Light wash wide-leg denim jeans with contrasting white side stripe panels, high waist, button closure. Retro-inspired relaxed fit with sporty colorblock detail.",870,Images/P433.jpg
P434,Women,Bottomwear,Trousers,Light Green,Casual,"XS, S, M, L, XL/XXL",Solid,NA,NA,Cotton Linen Blend,Wide-Leg,"Light green wide-leg trousers in a breathable cotton-linen blend, featuring front pleats, belt loops, and a button closure. Minimalist design for relaxed warm-weather styling.",2750,Images/P434.jpg
P435,Women,Clothing,Jumpsuit,Yellow,Party,"XS, S, M, L, XL/XXL",Solid,Sleeveless,High Neck,Chiffon,Flared,"A sleeveless mustard yellow jumpsuit featuring a high neck with floral embellishment, fitted bodice, and wide palazzo-style flared pants in lightweight chiffon fabric.",3420,Images/P435.jpg
P436,Women,Clothing,Shorts,Coral,Casual,"XS, S, M, L, XL",Solid,NA,NA,Cotton Blend,Regular,"Coral pink women's shorts with front pleats, belt loops, side pockets, and a relaxed fit.",1070,Images/P436.jpg
P437,Women,Clothing,Jumpsuit,Beige,Casual,"XS, S, M, L, XL/XXXXL",Animal Print,Sleeveless,Spaghetti Strap,Crepe,Flared,"A beige and black leopard print sleeveless jumpsuit with thin spaghetti straps, V-neckline, elasticated waist, side pockets, and wide-leg flared silhouette in crepe fabric.",3510,Images/P437.jpg
P438,Women,Clothing,Top,Black,Casual,"XS, S, M, L, XL",Solid,Full Sleeve,Round Neck,Cotton,Regular,"A solid black full-sleeve top with a classic round neckline, made from comfortable cotton fabric.",520,Images/P438.jpg
P439,Women,Clothing,Skirt,Orange,Casual,"XS, S, M, L, XL",Solid,NA,NA,Cotton,Flared,"A solid orange A-line maxi skirt with a gathered waistband, front pleats, and a flowing flared silhouette.",1170,Images/P439.jpg
P440,Women,Ethnic,Saree,Pink,Party and Wedding,Free Size,Floral,Elbow Length,Round Neck,Silk Blend,Traditional,Pink floral print saree with matching blouse featuring elbow-length sleeves with green trim,1240,Images/P440.jpg
P441,Women,Western,Sweatshirt,Light Pink,Casual,"S, M, L, XL",Solid,Long Sleeves,Round Neck,Cotton Blend,Casual,Light pink sweatshirt paired with blue denim jeans,1580,Images/P441.jpg
P442,Women,Western,Co-ord Set,Blue,Casual,"S, M, L, XL",Solid,Full Sleeves,Lapel Collar,Cotton,Contemporary,Blue denim-style co-ord set with zip-up top featuring white lace collar and matching shorts,4680,Images/P442.jpg
P443,Women,Ethnic,Saree,Green,Party and Wedding,Free Size,Crinkled,Sleeveless,Square Neck,Georgette,Contemporary,Green crinkled georgette saree with black embroidered sleeveless blouse,1980,Images/P443.jpg
P444,Women,Ethnic,Saree,Beige,Party and Wedding,Free Size,Floral Print,Short Sleeves,Round Neck,Silk,Traditional,"Beige silk saree with green and orange floral print, paired with green blouse",650,Images/P444.jpg
P445,Men,Bottomwear,Jeans,Blue,Casual,"S, M, L, XL, XXL",Solid,NA,NA,Denim,Regular Fit,Men's light blue washed denim jeans with orange contrast side stripe.,660,Images/P445.jpg
P446,Women,Ethnic,Kurta,White,Party and Wedding,"S, M, L, XL, XXL",Embroidered,NA,NA,Cotton,Chikankari,Women's off-white cotton dupatta featuring delicate chikankari embroidery with floral motifs.,1490,Images/P446.jpg
P447,Women,Bottomwear,Shorts,Black,Casual,"XS, S, M, L, XL",Solid,NA,NA,Cotton,Pleated High-Waist,"Women's black high-waisted shorts with front pleats, button and zip closure, side pockets.",830,Images/P447.jpg
P448,Women,Bottomwear,Shorts,Black,Casual,"S, M, L, XL",Abstract Print,NA,NA,Polyester,Drawstring Elastic Waist,Women's black and white abstract geometric printed casual shorts with elastic waistband.,1980,Images/P448.jpg
P449,Women,Ethnic,Lehenga Choli Set,Maroon,Party and Wedding,"XS, S, M, L, XL/XXXL",Printed,Short Sleeve,V-Neck,Georgette,A-Line Lehenga,Women's maroon georgette lehenga choli set with multicolored printed V-neck blouse and sheer beige dupatta.,1170,Images/P449.jpg
P450,Women,Bottomwear,Palazzo,Off-White,Casual,"S, M, L, XL",Floral Print,NA,NA,Rayon,Flared,"Off-white flared palazzo with yellow and pink leaf print, drawstring waist",2030,Images/P450.jpg
P451,Women,Outerwear,Puffer Jacket,Navy Blue,Casual,"XS, S, M, L, XL/XXL",Solid,Full Sleeve,Stand Collar,Polyester,Quilted,Navy blue quilted puffer jacket with stand collar and zip front.,1530,Images/P451.jpg
P452,Women,Ethnic Wear,Kurta Set,Beige,Party and Wedding,"S, M, L, XL/XXL",Embroidered,Three-Quarter Sleeve,Mandarin Collar,Silk Blend,Straight,"Beige silk blend kurta set with embroidered yoke, matching churidar and printed dupatta",1700,Images/P452.jpg
P453,Women,Bottomwear,Skirt,Mustard Yellow,Casual,"S, M, L, XL/XXL",Solid,NA,NA,Cotton,Flared,Mustard yellow cotton palazzo with ruffled hem and comfortable waistband,1540,Images/P453.jpg
P454,Women,Western Wear,Jumpsuit,Burgundy,Casual,"XS, S, M, L, XL",Solid,Short Sleeve,V-Neck,Rayon,Wide Leg,"Burgundy rayon jumpsuit with V-neck, short sleeves, drawstring waist and wide legs",1130,Images/P454.jpg
P455,Women,Western Wear,Jacket,Black,Casual,"S, M, L, XL",Colour Block,Full Sleeve,Mandarin,Nylon,Puffer Jacket,Black puffer jacket with colour-blocked chest panel featuring white and light blue stripes with pink shoulder yoke.,1260,Images/P455.jpg
P456,Women,Ethnic Wear,Top,Red,Casual,"S, M, L, XL, XXL",Floral Print,Three-Quarter Sleeve,Round,Rayon,Boho,"Red boho kurti with gold foil floral print, round neck, bell three-quarter sleeves, paired with white embroidered skirt.",3600,Images/P456.jpg
P457,Women,Ethnic Wear,Saree,Pink,Party and Wedding,Free Size,Floral,Sleeveless,Round,Silk,Banarasi,"Pink Banarasi silk saree with intricate floral weaving, gold zari border and pallu, matching sleeveless blouse.",1600,Images/P457.jpg
P458,Women,Western Wear,Top,Beige,Casual,"M, L, XL, XXL, 3XL",Floral Print,Three-Quarter Sleeve,V-Neck,Cotton,Peplum,"Beige floral print peplum top with V-neckline, three-quarter sleeves, relaxed fit.",1770,Images/P458.jpg
P459,Women,Ethnic Wear,Kurta Set,Black,Party and Wedding,"S, M, L, XL/XXL",Solid,Three-Quarter Sleeve,Mandarin,Cotton,Straight,"Black straight-cut cotton kurta with mandarin collar and gold buttons, matching pants and pink-orange Bandhani dupatta.",2470,Images/P459.jpg
P460,Women,Bottomwear,Skirt,Pink,Casual,"XS, S, M, L, XL",Solid,NA,NA,Cotton Blend,A-Line,"Pink A-line skirt with asymmetric front panel, dual brown button detail, front pleat accents.",1250,Images/P460.jpg
P461,Women,Topwear,Sweater,Grey,Casual,"S, M, L, XL/XXXL",Solid,Full Sleeves,Off-Shoulder,Acrylic Knit,Relaxed Fit,"Light grey off-shoulder knit sweater with wide fold-over neckline, loose full sleeves, relaxed oversized silhouette.",1040,Images/P461.jpg
P462,Women,Bottomwear,Romper,Light Green,Casual,"XS, S, M, L/XXL",Floral Print,Sleeveless,Strapless,Rayon,Bohemian,"Light green strapless romper with ditsy floral print, drawstring waist with tassel ends.",1230,Images/P462.jpg
P463,Women,Western Wear,Co-ord Set,Off-White,Party,"XS, S, M, L, XL",Floral Print,Off-Shoulder Sleeves,Off-Shoulder,Chiffon,Boho Chic,Off-shoulder ruffle crop top paired with high-waisted wide-leg pants in coral and blue floral print.,2370,Images/P463.jpg
P464,Women,Ethnic Wear,Lehenga Set,Peach,Party and Wedding,"S, M, L, XL",Floral Print,Sleeveless,Halter Neck,Georgette,Indo-Western,Peach-toned halter neck crop top with matching flowy maxi skirt with rose floral print.,2490,Images/P464.jpg
P466,Women,Western Wear,Trousers,Navy Blue,Casual,"XS, S, M, L, XL",Solid with Contrast Panel,N/A,N/A,Polyester Blend,Contemporary Casual,"Navy blue cropped trousers with black side panels, elasticated waistband, front pleats.",880,Images/P466.jpg
P467,Women,Western Wear,Top,Cream,Casual,"XS, S, M, L, XL/XXL",Floral Print,Sleeveless,V-Neck,Viscose,Bohemian,"Sleeveless cream-colored top with vibrant floral print, V-neckline with embroidery and peplum hem.",930,Images/P467.jpg
P468,Women,Western Wear,Cardigan,Mustard Yellow,Casual,"S, M, L, XL, XXL",Solid,Long Sleeve,V-Neck,Cotton Blend,Preppy,"Mustard yellow V-neck cardigan with long sleeves, button-down front, decorative beaded pocket embellishments.",1360,Images/P468.jpg
P469,Women,Ethnic Wear,Saree,Yellow,Party and Wedding,Free Size/XXXL,Embroidered,Short,Round,Chiffon,Traditional,"Vibrant yellow chiffon saree with intricate lace and embroidery work, matching yellow blouse.",3120,Images/P469.jpg
P470,Women,Bottomwear,Maxi Skirt,Brown,Casual,"XS, S, M, L, XL",Solid,NA,NA,Cotton Blend,Wrap,Solid brown wrap-style maxi skirt with front slit and button closure at waist.,1480,Images/P470.jpg
P471,Women,Western Wear,Saree,Beige,Party and Wedding,Free Size/XXXL,Solid,Sleeveless,Round Neck,Chiffon,Contemporary,Beige chiffon saree paired with black sleeveless blouse with fringe detailing.,4590,Images/P471.jpg
P472,Women,Western Wear,Jacket,Pink,Casual,"XS, S, M, L, XL/XXXL",Solid,Full Sleeve,Stand Collar,Faux Suede,Biker,"Pink faux-suede biker jacket with stand collar, gold-tone front zip closure, zippered pockets.",900,Images/P472.jpg
P473,Women,Ethnic Wear,Kurti,Grey,Casual,"S, M, L, XL, XXL",Striped,Three-Quarter Sleeve,V-Notch Neck,Cotton,A-Line,Light grey cotton kurti with vertical stripes and scattered pink bird embroidery.,1370,Images/P473.jpg
P474,Women,Ethnic Wear,Kurta Set,Navy Blue,Party and Wedding,"S, M, L, XL",Solid,Three-Quarter Sleeve,Round Neck,Silk Blend,Straight,"Navy blue silk blend kurta with gold embroidery, mustard pants, green sheer embroidered dupatta.",510,Images/P474.jpg
P475,Women,Ethnic Wear,Kurta Set,Black,Party and Wedding,Free Size,Solid with Border,NA,NA,Cotton Blend,Ethnic,"Black  cotton blend dupatta with pink and peach border, tassel detailing along edges.",860,Images/P475.jpg
P476,Women,Western Wear,Jeans,Rust Brown,Casual,"XS, S, M, L, XL/XXXL",Solid,NA,NA,Polyester Blend,Contemporary,Rust brown high-waisted palazzo pants with dramatic front slits.,2950,Images/P476.jpg
P477,Women,Ethnic Wear,Kurti,Peach Pink,Casual,"S, M, L, XL, XXL",Leaf Print,Three-Quarter,Round Neck with Keyhole,Cotton,Ethnic,"Peach pink cotton kurti with all-over leaf motif prints, keyhole detail with tassel tie.",6610,Images/P477.jpg
P478,Women,Western Wear,Jeans,Dark Blue,Casual,"XS, S, M, L, XL",Solid,NA,NA,Denim,Streetwear,Dark wash distressed denim jeans with ripped knee detail and asymmetrical foldover waistband.,3740,Images/P478.jpg
P479,Women,Western Wear,Jeans,Cream,Casual,"S, M, L, XL/XXXL",Vertical Stripes,NA,NA,Linen Blend,Bohemian,Cream and beige striped linen blend palazzo pants with drawstring waistband.,780,Images/P479.jpg
P480,Women,Bottomwear,Pants,Beige,Casual,"S, M, L, XL",Solid,NA,NA,Linen,Straight Pants,"Beige linen blend pants with elasticated drawstring waistband, straight leg silhouette.",4410,Images/P480.jpg
P481,Women,Topwear,T-shirt,Black red,Casual,"XS, S, M, L, XL/XXXXL",Striped,Short,Round,Cotton,Round Neck T-shirt,"Black t-shirt with bold red and cream vertical stripes, round neck, relaxed fit.",6150,Images/P481.jpg
P482,Women,Bottomwear,Jeans,Brown,Casual,"26, 28, 30, 32/XXXL",Solid,NA,NA,Cotton Denim,Cropped Straight,"Brown coloured cropped jeans with straight leg cut, mid-rise waist.",1330,Images/P482.jpg
P483,Women,Ethnic,Saree,Black,Party and Wedding,Free Size,Solid,Sleeveless,Round,Georgette,Embellished Blouse,Elegant black georgette saree with sleeveless sequined embellished blouse.,1030,Images/P483.jpg
P484,Women,Ethnic,Kurta,Navy Blue,Party and Wedding,"S, M, L, XL, XXL",Geometric,Sleeveless,Round,Cotton,Printed Sleeveless,Navy blue cotton sleeveless kurta with geometric square print.,3440,Images/P484.jpg
P485,Women,Bottomwear,Skirt,Light Grey,Casual,"S, M, L, XL",Solid,Sleeveless,N/A,Ribbed Knit,Bodycon,Light grey high-waisted ribbed knit bodycon pencil skirt.,1130,Images/P485.jpg
P486,Women,Ethnic Wear,Lehenga Choli,Black and Red,Party and Wedding,"S, M, L, XL",Floral Embroidered,Long Sleeves,Round Neck,Georgette,Traditional,"Black blouse with multicolour floral embroidery, solid red flared lehenga skirt.",950,Images/P486.jpg
P487,Women,Ethnic Wear,Lehenga Choli,Bottle Green and Gold,Party and Wedding,"S, M, L, XL",Sequined,Short Sleeves,Round Neck,Net and Satin,Traditional,"Gold sequin-embellished blouse, bottle green flared lehenga skirt, beige net dupatta.",1080,Images/P487.jpg
P488,Women,Ethnic Wear,Kurti,Beige,Casual,"S, M, L, XL, XXL",Striped with Floral Embroidery,Three-Quarter Sleeves,Round Neck,Cotton,A-Line,"Beige and white striped A-line kurti with green floral embroidery, straight-fit beige pants.",1330,Images/P488.jpg
P489,Women,Ethnic Wear,Kurti Set,Mauve,Formal,"S, M, L, XL/XXXL",Embroidered,Three-Quarter Sleeves,V-Neck,Chiffon,Straight,"Mauve embroidered chiffon kurti set with matching straight pants, sheer dupatta.",880,Images/P489.jpg
P490,Women,Jackets & Coats,Bomber Jacket,Olive Green,Casual,"XS, S, M, L, XL",Solid,Full Sleeves,Stand Collar,Nylon,Regular Fit,"Olive green lightweight bomber jacket with full front zip, ribbed stand collar.",4860,Images/P490.jpg
P492,Women,Ethnic Wear,Kurta Set,Pink,Party and Wedding,"S, M, L, XL, XXL",Floral,Three-Quarter Sleeves,Round Neck,Cotton,Regular Fit,"Pink cotton kurta palazzo set with matching dupatta, white floral embroidery on yoke.",3490,Images/P492.jpg
P493,Women,Western Wear,Dress,Black,Party,"XS, S, M, L, XL",Printed,Full Sleeves,Tie-Neck,Polyester,A-Line,"Black mini dress with ornate baroque and paisley print, tie-neck detail with bow.",1090,Images/P493.jpg
P494,Women,Western Wear,Crop Top,Mustard Yellow,Casual,"XS, S, M, L/XXL",Paisley,Sleeveless,High Neck,Cotton,Regular Fit,"Mustard yellow cropped top with pink and purple paisley print, ruffled cap sleeves.",1700,Images/P494.jpg
P495,Women,Ethnic Wear,Kurta Palazzo Set,Cream,Party and Wedding,"S, M, L, XL, XXL",Floral,Three-Quarter Sleeves,Round Neck,Rayon,Straight Kurta,"Cream-colored rayon kurta with red floral print, multicolor striped palazzo pants, matching dupatta.",1560,Images/P495.jpg
P496,Women,Ethnic Wear,Lehenga Skirt Set,Peach,Party and Wedding,"S, M, L, XL/XXXL",Floral Embroidered,Short Sleeves,Boat Neck,Chinon,A-Line Lehenga,"Peach-colored chinon lehenga skirt with white floral embroidery, black satin crop top.",1500,Images/P496.jpg
P497,Women,Western Wear,Pants,Rust Brown,Casual,"S, M, L, XL",Solid,Sleeveless,NA,Rayon,Wrap-Around,Rust brown rayon palazzo pants with wrap-around front panel and tie-up waist detail.,5860,Images/P497.jpg
P498,Women,Ethnic Wear,Kurta,Peach,Party and Wedding,Free Size/XXXXL,Striped,NA,NA,Cotton,Handloom,Peach and white striped cotton handloom dupatta with tassel finish.,1510,Images/P498.jpg
P501,Women,Topwear,Crop Top,Black,Casual,"XS, S, M, L, XL/XXXXL",Solid,Sleeveless,Square Neck,Cotton Blend,Slim Fit,"Solid black cropped tank top with wide square neckline, body-hugging fit.",4670,Images/P501.jpg
P502,Women,Ethnic,Saree,Black,Party and Wedding,Free Size/XXL,Solid,Cap Sleeve,Sweetheart Neck,Georgette,Contemporary Drape,Black georgette saree with sequin-embellished border and ruffle trim.,1470,Images/P502.jpg
P503,Women,Bottomwear,Jumpsuit,Green,Party,"XS, S, M, L, XL/XXXL",Solid,Sleeveless,V-Neck,Satin,Wide Leg,"Emerald green satin jumpsuit with deep V-neckline, lace trim, flowing wide-leg silhouette.",660,Images/P503.jpg
P504,Women,Topwear,Cardigan,Beige,Casual,"XS, S, M, L, XL",Textured,Full Sleeve,Round Neck,Cotton Knit,Regular Fit,Lightweight beige cotton knit cardigan with cable and pointelle textured pattern.,1320,Images/P504.jpg
P505,Women,Ethnic Wear,Kurta Set with Jacket,Yellow,Party and Wedding,"S,M,L,XL",Printed,Sleeveless,Round Neck,Art Silk,Contemporary Ethnic,Yellow art silk long open-front jacket layered over grey kurta and matching trousers.,2410,Images/P505.jpg
P507,Women,Ethnic Wear,Saree,Blue,Party and Wedding,Free Size,Floral Print,Three-Quarter,High Neck,Art Silk,Traditional,Navy blue art silk saree with vibrant red floral motifs and gold zari border.,1760,Images/P507.jpg
P508,Women,Ethnic Wear,Kurta Set with Dupatta,Beige,Party and Wedding,"S,M,L,XL/XXXXL",Woven,Three-Quarter,Round Neck,Cotton,Contemporary Ethnic,"Beige cotton kurta with golden woven lotus motifs, navy blue pants, white sheer dupatta.",2350,Images/P508.jpg
P509,Women,Western Wear,Pants,Beige,Casual,"S,M,L,XL/XXXL",Self-Design,NA,NA,Cotton Blend,Casual Chic,Beige cotton blend wide-leg palazzo pants with subtle self-woven diamond pattern.,1890,Images/P509.jpg
P510,Women,Ethnic Wear,Saree,Teal Blue,Party and Wedding,Free Size,Floral Print,Sleeveless,Round Neck,Georgette,Contemporary Floral,"A teal blue georgette saree featuring vibrant multicolor floral prints in red, yellow, pink, and green. Comes with a matching sleeveless blouse.",1700,Images/P510.jpg
P512,Women,Ethnic Wear,Kurta Set,Beige,Party and Wedding,"S, M, L, XL, XXL",Floral Print,3/4 Sleeve,Round Neck,Cotton Blend,Traditional Ethnic,"A beige printed kurta set with vertical stripes and floral patterns, embroidered neckline, 3/4 sleeves, matching dupatta and pink leggings.",6360,Images/P512.jpg
P513,Women,Ethnic Wear,Top,Blue,Casual,"S, M, L, XL/XXXL",Geometric Print,3/4 Sleeve,Square Neck,Cotton,Peplum Ethnic,"A blue cotton top with ethnic geometric prints in white and beige, square neckline, 3/4 sleeves, tassel drawstrings, flared peplum hem.",930,Images/P513.jpg
P514,Women,Western Wear,Top,Yellow,Casual,"S, M, L, XL/XXXXL",Bohemian Print,Sleeveless,V-Neck,Cotton,Boho Chic,"A bright yellow cotton spaghetti strap top with colorful bohemian and ethnic prints, wrap-style V-neckline, relaxed fit.",1300,Images/P514.jpg
P515,Women,Western Wear,Cardigan,Light Blue,Casual,"S, M, L, XL, XXL",Solid,Full Sleeves,Open Front,Viscose,Drape Cardigan,"Light blue open-front drape cardigan with waterfall front, long sleeves, soft textured fabric.",3070,Images/P515.jpg
P516,Women,Western Wear,Top,Red,Formal,"S, M, L, XL, XXL",Solid,Half Sleeves,V-Neck,Chiffon,Flutter Sleeve Top,"Red V-neck top with sheer striped flutter bell sleeves, relaxed fit, lightweight chiffon fabric.",1280,Images/P516.jpg
P517,Women,Western Wear,Pants,Black,Formal,"XS, S, M, L, XL, XXL",Colorblock,NA,NA,Crepe,Wide-Leg Palazzo,"Black and white colorblock wide-leg palazzo pants with contrasting side stripes, pleated front, flowing silhouette.",1190,Images/P517.jpg
P518,Women,Ethnic Wear,Kurti,Brown,Casual,"S, M, L, XL, XXL",Printed,Three-Quarter Sleeves,Round Neck,Rayon,A-Line Kurti,"Brown burnt orange A-line kurti with black floral and paisley print, three-quarter sleeves, asymmetric hem.",1980,Images/P518.jpg
P519,Women,Ethnic Wear,Lehenga Choli,Pink,Party and Wedding,"S, M, L, XL, XXL",Embroidered,Full Sleeves,Round Neck,Net,Embroidered Lehenga Set,"Peach pink embroidered lehenga choli set with full-sleeve blouse, flared skirt, matching net dupatta with intricate floral threadwork.",1350,Images/P519.jpg
