top_R,top_G,top_B,bot_R,bot_G,bot_B,delta_e,match
247,247,247,111,61,24,58.66,Good
254,254,254,111,61,24,59.72,Good
230,230,230,251,251,252,4.43,Poor
254,254,253,111,61,24,59.71,Good
245,246,250,111,61,24,59.02,Good
251,251,251,111,61,24,59.27,Good
236,236,237,165,146,128,24.93,Poor
51,69,70,217,217,217,54.52,Good
238,238,238,49,49,52,67.44,Good
228,228,228,217,217,217,2.47,Poor
247,247,247,217,217,217,6.48,Poor
253,253,253,217,217,217,7.68,Poor
228,228,228,217,217,217,2.47,Poor
254,254,254,217,217,217,7.88,Poor
251,251,251,217,217,217,7.29,Poor
253,254,253,217,217,217,7.87,Poor
227,227,227,217,217,217,2.25,Poor
220,222,223,29,51,106,64.75,Good
129,129,129,217,217,217,25.21,Moderate
228,228,228,217,217,217,2.47,Poor
254,254,254,252,251,252,0.99,Poor
239,239,239,251,251,252,2.53,Poor
254,254,254,252,251,252,0.99,Poor
254,253,253,252,251,252,0.66,Poor
254,254,254,252,251,252,0.99,Poor
254,253,254,252,251,252,0.4,Poor
247,247,247,13,22,19,90.1,Good
228,228,228,251,251,252,4.86,Poor
251,251,251,203,194,179,14.54,Poor
253,253,253,251,251,252,0.66,Poor
252,252,252,251,251,252,0.57,Poor
239,239,239,251,251,252,2.53,Poor
238,238,238,251,251,252,2.74,Poor
238,238,238,251,251,252,2.74,Poor
238,238,238,51,49,53,67.16,Good
235,234,231,50,49,53,66.79,Good
253,253,253,51,49,53,69.26,Good
78,44,36,50,49,53,15.8,Poor
239,239,239,50,49,53,67.43,Good
216,197,191,91,87,81,39.56,Moderate
254,254,254,50,49,53,69.52,Good
247,247,247,50,49,53,68.56,Good
228,228,228,49,49,52,65.96,Good
254,254,254,32,40,46,76.67,Good
254,254,254,49,49,52,69.67,Good
231,232,227,14,22,20,85.19,Good
240,238,236,14,22,20,87.85,Good
254,254,254,14,22,20,90.93,Good
254,254,254,14,22,20,90.93,Good
254,254,254,14,22,20,90.93,Good
241,240,238,254,254,253,2.89,Poor
252,252,252,14,22,20,90.69,Good
238,238,238,13,22,19,87.87,Good
238,238,238,13,22,19,87.87,Good
228,228,228,13,22,19,83.78,Good
254,253,254,13,22,19,91.1,Good
254,254,254,13,22,19,91.14,Good
231,230,236,13,22,19,85.22,Good
233,232,232,230,230,230,0.7,Poor
254,254,254,34,40,48,76.32,Good
254,254,254,34,40,48,76.32,Good
238,238,238,69,64,50,58.83,Good
53,53,53,34,40,48,6.9,Poor
119,45,37,34,40,48,28.36,Moderate
254,253,253,34,40,48,76.24,Good
253,253,254,32,40,46,76.54,Good
253,253,254,32,40,46,76.54,Good
254,254,254,39,49,56,70.9,Good
254,254,254,27,68,94,62.44,Good
254,254,254,32,40,46,76.67,Good
254,254,254,32,40,46,76.67,Good
254,254,254,32,40,46,76.67,Good
240,233,229,237,237,237,3.5,Poor
131,225,236,32,40,46,70.96,Good
240,233,229,230,230,230,3.56,Poor
52,170,180,167,165,160,22.9,Poor
254,254,254,230,230,230,4.98,Poor
246,245,245,230,230,230,3.25,Poor
242,242,242,230,230,230,2.55,Poor
254,254,254,230,230,230,4.98,Poor
233,232,230,230,230,230,1.15,Poor
237,236,236,230,230,230,1.43,Poor
254,253,253,230,230,230,4.85,Poor
254,254,253,237,237,237,3.51,Poor
216,217,225,230,230,230,4.89,Poor
254,254,254,230,230,230,4.98,Poor
254,254,254,41,49,58,70.58,Good
253,253,253,41,49,58,70.44,Good
134,161,203,41,49,58,43.09,Moderate
57,103,117,41,49,58,19.7,Poor
57,103,117,41,49,58,19.7,Poor
254,254,254,39,49,56,70.9,Good
26,31,55,39,49,56,12.35,Poor
254,254,254,39,49,56,70.9,Good
254,253,253,239,238,237,3.13,Poor
239,236,229,169,166,156,17.48,Poor
254,254,254,39,49,56,70.9,Good
253,254,253,39,49,56,70.86,Good
63,24,31,39,49,56,24.55,Poor
101,48,72,169,166,163,45.24,Moderate
253,252,253,169,166,163,20.63,Poor
39,39,42,169,166,163,47.71,Moderate
253,253,253,170,166,163,20.72,Poor
34,39,61,169,166,163,49.23,Moderate
254,254,254,169,166,163,20.94,Poor
193,148,155,238,238,238,25.86,Moderate
200,199,198,168,166,161,9.2,Poor
137,19,29,167,166,161,46.79,Moderate
49,21,32,167,166,161,52.76,Good
176,123,93,167,166,161,21.58,Poor
240,235,229,168,166,161,17.31,Poor
198,145,173,167,166,160,23.44,Poor
247,247,247,32,74,98,58.48,Good
15,15,17,169,166,158,53.59,Good
254,254,254,169,166,158,21.35,Poor
15,15,15,169,166,158,53.52,Good
253,253,253,239,238,237,3.11,Poor
200,212,211,169,166,158,13.45,Poor
102,42,49,169,166,158,47.17,Moderate
254,254,254,169,166,158,21.35,Poor
198,179,202,168,166,156,19.58,Poor
237,237,235,15,15,15,89.1,Good
228,221,210,168,166,156,14.56,Poor
231,230,229,168,166,156,16.83,Poor
248,248,248,168,166,156,20.5,Poor
238,240,238,169,167,156,18.44,Poor
233,232,230,169,166,156,17.02,Poor
239,241,239,150,152,155,22.71,Poor
185,187,185,37,76,102,46.16,Moderate
239,241,238,36,75,101,56.94,Good
254,254,254,36,75,101,58.82,Good
254,254,254,36,74,100,59.24,Good
230,230,228,35,74,100,55.68,Good
254,254,250,34,75,98,59.42,Good
254,254,254,34,75,98,59.03,Good
229,230,228,33,75,98,55.32,Good
229,229,229,33,75,98,55.05,Good
200,200,195,33,75,98,50.31,Good
254,254,254,158,147,124,28.4,Moderate
235,235,235,33,75,98,56.07,Good
155,55,18,206,194,186,43.56,Moderate
254,253,253,206,193,186,14.16,Poor
145,219,227,206,193,186,25.54,Moderate
253,253,253,204,193,184,14.31,Poor
30,55,52,205,193,186,60.36,Good
142,125,175,205,193,185,28.73,Moderate
219,196,174,205,193,186,6.52,Poor
254,254,254,204,193,184,14.49,Poor
254,254,254,204,193,184,14.49,Poor
254,254,254,240,241,242,2.74,Poor
253,254,254,204,193,184,14.61,Poor
232,233,232,96,96,92,41.75,Moderate
238,239,241,96,96,92,43.03,Moderate
151,102,85,96,96,92,20.32,Poor
200,198,199,96,96,92,34.71,Moderate
175,174,171,96,96,92,28.51,Moderate
226,226,225,94,97,91,40.46,Moderate
153,7,22,94,96,91,30.3,Moderate
254,254,254,94,96,91,45.94,Moderate
254,253,253,94,97,91,45.6,Moderate
253,253,252,231,232,234,4.62,Poor
248,248,248,94,97,91,44.65,Moderate
253,253,253,94,96,91,45.77,Moderate
253,253,253,95,97,91,45.41,Moderate
111,77,103,236,235,227,50.94,Good
223,219,216,236,235,227,4.66,Poor
254,254,254,236,235,227,5.58,Poor
238,238,238,236,235,227,3.98,Poor
254,254,254,236,235,227,5.58,Poor
216,216,216,234,235,226,6.11,Poor
220,220,215,234,235,226,3.78,Poor
254,254,254,247,246,246,1.65,Poor
235,235,231,234,235,226,2.52,Poor
217,100,86,234,235,226,38.33,Moderate
144,209,234,234,235,226,21.01,Poor
104,111,80,234,235,226,38.24,Moderate
237,237,237,234,235,226,4.63,Poor
253,253,253,237,214,201,12.39,Poor
253,253,253,237,214,201,12.39,Poor
254,254,254,237,214,201,12.5,Poor
232,232,230,237,214,201,10.29,Poor
228,225,225,237,214,201,8.97,Poor
230,229,227,67,61,43,59.17,Good
254,254,253,235,214,199,12.26,Poor
239,233,228,236,215,200,7.32,Poor
253,254,253,235,214,199,12.61,Poor
254,254,254,235,214,199,12.39,Poor
254,253,253,236,215,200,11.88,Poor
247,246,246,236,214,200,11.23,Poor
254,254,254,236,215,200,12.24,Poor
254,254,254,207,208,214,10.39,Poor
240,235,229,207,208,214,8.73,Poor
251,249,250,207,208,214,9.42,Poor
245,245,245,95,86,77,48.12,Moderate
254,254,254,206,208,214,10.43,Poor
238,238,238,206,208,214,7.38,Poor
238,239,239,205,208,212,7.28,Poor
247,247,249,205,208,212,8.84,Poor
246,249,250,205,208,212,9.1,Poor
100,84,67,205,208,212,42.77,Moderate
74,28,41,205,208,212,68.78,Good
228,228,228,205,208,212,5.18,Poor
253,252,252,205,208,212,10.03,Poor
252,119,80,130,52,36,33.47,Moderate
254,254,254,98,88,76,48.91,Moderate
235,161,145,130,52,36,39.79,Moderate
246,246,246,130,52,36,58.0,Good
245,244,244,130,52,36,57.6,Good
227,227,227,130,52,36,54.95,Good
254,254,253,129,52,34,59.48,Good
251,252,251,129,52,34,59.41,Good
73,29,57,129,52,34,23.96,Poor
238,238,238,129,52,34,56.96,Good
245,246,250,129,52,34,58.58,Good
254,254,254,129,52,34,59.42,Good
228,228,228,253,253,253,5.22,Poor
254,254,254,129,52,34,59.42,Good
254,254,253,252,252,252,0.66,Poor
229,180,45,32,70,99,66.64,Good
242,205,80,252,252,252,28.03,Moderate
181,30,51,58,58,57,29.7,Moderate
235,71,43,111,60,24,26.81,Moderate
254,254,254,34,40,48,76.32,Good
253,252,252,230,230,230,4.65,Poor
197,145,134,41,49,58,46.98,Moderate
241,240,241,205,193,185,11.96,Poor
254,254,254,78,69,60,57.88,Good
200,198,197,57,57,56,55.42,Good
254,254,254,96,96,92,45.66,Moderate
254,253,252,236,235,227,5.17,Poor
177,94,79,32,70,100,40.0,Moderate
254,253,253,31,69,99,61.64,Good
221,213,204,31,69,99,56.75,Good
239,235,238,30,68,98,59.68,Good
232,234,231,30,70,96,58.4,Good
145,21,21,29,68,95,40.5,Moderate
254,254,249,29,68,95,62.88,Good
242,223,87,33,35,35,79.26,Good
239,233,229,29,69,96,59.6,Good
250,183,61,29,69,96,67.38,Good
234,205,92,29,69,96,68.62,Good
219,154,22,111,61,24,39.86,Moderate
254,253,253,252,252,252,0.56,Poor
254,253,253,252,252,252,0.56,Poor
157,72,56,252,252,252,50.32,Good
126,97,86,252,252,252,44.02,Moderate
225,227,229,252,252,252,5.45,Poor
125,44,44,251,252,252,61.64,Good
243,242,242,31,31,31,80.99,Good
254,254,254,252,252,252,0.4,Poor
236,237,240,252,252,252,3.44,Poor
248,248,248,252,252,252,0.8,Poor
254,254,253,252,252,252,0.66,Poor
254,254,254,252,252,252,0.4,Poor
220,204,211,58,58,57,57.58,Good
237,237,237,217,217,217,4.41,Poor
150,181,213,236,236,236,19.74,Poor
229,182,176,214,207,205,13.9,Poor
236,236,237,253,253,252,3.63,Poor
245,245,245,76,57,46,62.22,Good
157,4,61,248,168,160,42.73,Moderate
221,202,202,218,215,217,7.04,Poor
28,54,76,59,32,38,24.44,Poor
253,253,253,189,114,25,40.81,Moderate
253,253,253,195,213,223,12.04,Poor
254,254,254,169,165,124,26.54,Moderate
254,253,253,212,211,219,9.82,Poor
254,254,254,238,238,240,3.41,Poor
251,253,253,185,190,197,14.73,Poor
254,254,254,189,232,244,15.0,Poor
54,65,58,172,171,157,43.3,Moderate
254,254,254,237,236,236,3.68,Poor
254,254,253,214,207,205,10.44,Poor
196,174,147,253,253,252,21.5,Poor
32,32,32,189,232,244,78.2,Good
233,231,229,122,205,215,22.64,Poor
231,229,227,60,57,46,61.43,Good
229,229,226,253,244,243,5.98,Poor
254,254,254,209,214,220,9.34,Poor
254,254,254,250,249,249,1.08,Poor
228,226,226,203,202,204,5.7,Poor
253,252,252,254,254,254,0.62,Poor
4,53,66,120,206,217,58.49,Good
254,254,254,156,135,131,30.62,Moderate
26,53,88,195,193,191,58.85,Good
23,23,24,220,222,224,79.69,Good
254,254,254,225,241,248,7.4,Poor
254,254,253,24,19,14,91.24,Good
252,252,252,226,219,208,8.8,Poor
252,253,253,247,242,234,4.74,Poor
224,229,232,207,204,214,7.96,Poor
232,232,232,253,253,252,4.37,Poor
228,228,228,247,246,246,3.89,Poor
227,227,227,248,247,246,4.31,Poor
252,253,252,61,57,46,64.92,Good
254,254,254,254,253,253,0.53,Poor
231,230,228,247,246,246,3.57,Poor
253,253,253,185,170,165,20.02,Poor
225,113,142,224,232,236,32.8,Moderate
231,230,228,253,250,247,4.36,Poor
245,245,245,237,234,234,2.63,Poor
245,246,246,254,253,253,1.81,Poor
183,124,124,253,244,244,31.92,Moderate
202,153,74,219,108,59,19.96,Poor
240,235,229,206,209,210,7.66,Poor
254,254,253,214,171,131,24.93,Poor
224,220,218,30,29,32,77.03,Good
244,235,219,157,79,102,46.92,Moderate
254,253,253,194,184,173,16.6,Poor
230,193,184,229,231,232,16.64,Poor
234,232,230,209,214,220,6.28,Poor
244,244,244,226,142,31,34.06,Moderate
245,244,244,244,244,244,0.51,Poor
246,205,207,201,200,200,14.84,Poor
254,253,253,239,238,238,3.07,Poor
241,236,230,179,169,161,16.36,Poor
100,112,129,211,209,215,31.4,Moderate
235,235,231,205,218,225,8.1,Poor
250,190,65,208,208,215,30.99,Moderate
26,54,41,250,249,250,71.2,Good
246,246,246,249,148,189,28.99,Moderate
245,245,245,199,195,197,11.4,Poor
246,246,245,236,236,237,2.32,Poor
231,229,228,250,249,250,4.31,Poor
247,247,247,202,205,207,9.56,Poor
253,253,253,140,119,93,37.26,Moderate
229,230,225,235,232,229,2.59,Poor
252,251,252,252,251,251,0.53,Poor
251,251,251,203,202,204,10.83,Poor
254,253,253,248,168,160,25.98,Moderate
254,254,254,229,224,218,7.02,Poor
254,254,254,118,123,129,35.25,Moderate
88,58,73,226,229,231,57.77,Good
216,145,126,239,239,237,28.74,Moderate
254,254,254,243,242,241,2.49,Poor
254,253,253,50,111,95,48.02,Moderate
78,32,53,239,238,238,71.21,Good
230,230,228,237,187,133,21.47,Poor
254,254,254,95,64,45,59.3,Good
159,117,86,157,135,131,12.67,Poor
246,246,246,205,209,214,8.73,Poor
254,254,254,36,73,113,59.56,Good
254,254,254,138,195,215,22.32,Poor
245,246,243,28,26,32,84.89,Good
245,245,245,225,232,231,4.65,Poor
24,48,42,193,192,197,60.99,Good
229,230,228,234,231,226,2.21,Poor
182,150,149,254,254,254,26.83,Moderate
150,152,151,195,193,191,12.12,Poor
44,47,77,207,125,94,46.94,Moderate
78,69,39,239,236,226,55.88,Good
253,253,252,254,254,254,0.58,Poor
55,55,55,239,239,239,63.9,Good
244,244,244,226,200,171,16.1,Poor
245,245,245,219,209,199,9.57,Poor
245,245,245,175,125,95,34.27,Moderate
254,254,254,220,222,224,6.93,Poor
240,232,229,135,151,167,25.17,Moderate
245,246,246,79,53,68,63.37,Good
254,254,254,207,215,221,9.56,Poor
246,246,246,253,253,253,1.41,Poor
211,206,193,242,240,226,7.65,Poor
219,160,46,230,223,216,27.21,Moderate
230,230,228,142,3,12,60.91,Good
240,232,229,254,253,253,5.22,Poor
245,245,245,246,245,239,2.97,Poor
253,253,253,225,241,248,7.32,Poor
182,202,223,237,235,230,15.3,Poor
38,37,51,226,173,133,61.44,Good
145,67,45,62,63,64,25.68,Moderate
231,230,229,24,19,14,84.75,Good
215,213,219,226,219,209,8.11,Poor
254,254,254,247,242,235,4.35,Poor
66,51,56,207,205,214,58.78,Good
246,245,245,253,253,252,1.77,Poor
246,246,245,248,247,246,0.57,Poor
246,246,246,218,215,217,6.87,Poor
203,131,50,254,253,253,36.48,Moderate
254,254,253,247,246,246,1.76,Poor
238,238,238,184,170,164,17.18,Poor
230,228,227,27,28,25,80.66,Good
231,229,229,224,232,236,4.75,Poor
244,244,244,253,250,247,2.26,Poor
254,254,254,237,234,234,4.25,Poor
217,144,131,254,253,253,30.24,Moderate
232,231,229,59,33,38,73.85,Good
233,232,230,189,114,25,37.32,Moderate
254,253,252,195,213,223,12.46,Poor
235,234,232,170,165,124,22.73,Poor
253,253,253,212,211,218,9.67,Poor
155,82,84,238,238,240,45.25,Moderate
250,250,251,178,166,157,20.73,Poor
74,28,36,185,190,197,61.84,Good
254,253,252,236,236,236,3.58,Poor
233,234,233,151,139,123,26.17,Moderate
245,245,243,193,164,130,23.58,Poor
254,254,253,114,111,117,39.2,Moderate
248,247,247,145,140,134,27.67,Moderate
245,244,242,174,157,140,22.62,Poor
253,253,253,151,148,142,26.34,Moderate
168,62,52,240,242,239,50.36,Good
28,28,28,232,228,225,80.5,Good
252,253,253,230,229,229,5.02,Poor
29,14,14,235,236,234,88.21,Good
171,148,135,153,146,138,7.1,Poor
254,254,254,237,237,237,3.48,Poor
242,238,235,236,236,236,2.24,Poor
243,126,143,151,140,123,27.34,Moderate
216,214,207,194,164,129,17.69,Poor
246,242,238,114,111,117,37.22,Moderate
246,242,239,145,140,133,26.67,Moderate
254,254,254,174,156,140,24.96,Poor
81,31,50,173,156,139,46.66,Moderate
254,254,254,120,134,130,32.89,Moderate
246,246,246,150,148,142,25.05,Moderate
240,236,235,150,148,141,23.32,Poor
254,254,254,240,242,239,3.29,Poor
243,238,235,240,242,239,3.56,Poor
252,251,250,232,228,225,4.96,Poor
242,241,239,232,228,225,3.02,Poor
254,253,254,235,236,234,4.21,Poor
237,68,119,234,236,233,40.84,Moderate
182,182,180,153,146,138,11.23,Poor
246,246,246,152,145,137,25.95,Moderate
254,254,254,226,226,225,5.9,Poor
254,254,254,237,237,237,3.48,Poor
254,254,254,174,157,140,24.76,Poor
227,227,227,237,237,237,2.16,Poor
249,248,248,236,236,236,2.58,Poor
73,36,39,236,236,236,70.74,Good
236,209,206,151,139,123,23.14,Poor
224,220,193,151,139,123,22.63,Poor
254,254,254,194,164,129,25.44,Moderate
254,254,254,194,164,129,25.44,Moderate
71,75,86,114,111,117,14.08,Poor
254,254,254,228,228,226,5.56,Poor
231,230,229,114,111,117,34.66,Moderate
254,253,253,146,141,134,28.57,Moderate
229,54,38,151,148,142,30.58,Moderate
144,148,169,146,141,134,13.81,Poor
254,254,252,240,242,239,2.82,Poor
127,42,49,165,160,146,43.46,Moderate
254,254,254,66,66,31,62.72,Good
242,162,29,216,220,223,32.04,Moderate
223,220,221,232,228,224,3.13,Poor
238,238,238,155,114,103,35.41,Moderate
253,253,253,150,135,126,30.49,Moderate
230,230,228,212,198,188,9.56,Poor
254,252,252,42,44,33,73.98,Good
253,254,254,197,200,197,12.27,Poor
105,132,45,190,199,198,32.55,Moderate
208,187,171,131,119,105,22.33,Poor
180,203,200,223,221,221,12.37,Poor
240,156,152,70,67,52,51.1,Good
138,161,153,234,236,234,22.39,Poor
138,161,153,152,146,138,13.09,Poor
254,254,254,237,237,238,3.51,Poor
242,238,235,170,158,126,23.18,Poor
230,232,230,52,105,31,48.43,Moderate
130,171,144,52,104,31,29.33,Moderate
239,240,238,52,105,31,49.87,Moderate
254,254,254,165,160,146,23.68,Poor
240,233,229,66,66,31,59.6,Good
179,91,88,216,220,223,39.37,Moderate
220,220,218,155,114,103,32.31,Moderate
242,238,235,212,198,188,9.97,Poor
242,238,233,42,44,33,72.01,Good
242,238,235,197,200,197,9.7,Poor
242,238,235,85,110,144,40.99,Moderate
229,230,225,190,199,198,8.49,Poor
242,238,235,131,119,105,33.3,Moderate
254,254,254,223,221,221,6.95,Poor
238,233,228,70,67,52,56.55,Good
192,193,191,251,251,251,13.24,Poor
254,254,254,254,254,254,0.0,Poor
254,254,254,253,253,253,0.2,Poor
11,124,172,165,160,146,32.1,Moderate
205,167,123,66,66,31,45.51,Moderate
204,190,170,216,220,223,13.51,Poor
254,254,254,254,254,254,0.0,Poor
254,254,254,155,115,104,37.82,Moderate
240,232,229,212,198,187,8.66,Poor
240,232,229,50,63,69,60.44,Good
246,246,246,154,157,160,22.27,Poor
246,246,246,244,243,241,1.21,Poor
148,120,125,253,253,252,35.68,Moderate
242,205,79,155,156,160,32.33,Moderate
244,244,244,254,254,254,2.02,Poor
248,248,248,213,212,216,8.07,Poor
208,146,151,244,244,244,28.24,Moderate
253,253,253,236,235,234,3.73,Poor
226,227,225,199,200,197,6.36,Poor
254,254,254,252,252,252,0.4,Poor
231,232,230,208,209,214,6.34,Poor
239,233,229,28,28,28,81.92,Good
174,81,82,81,79,79,25.45,Moderate
254,254,254,223,223,224,6.53,Poor
230,229,228,63,68,76,55.22,Good
240,233,229,52,55,53,63.87,Good
254,254,254,238,238,236,3.47,Poor
254,254,254,247,248,250,1.61,Poor
240,233,229,32,30,37,80.08,Good
229,230,226,50,63,69,59.24,Good
254,254,253,154,157,160,23.85,Poor
155,172,208,244,243,241,22.98,Poor
137,149,195,253,253,252,30.78,Moderate
18,116,96,155,156,160,30.72,Moderate
18,116,96,254,254,254,48.13,Moderate
250,142,173,213,212,216,25.49,Moderate
126,89,109,244,244,244,45.46,Moderate
240,53,59,155,157,154,32.66,Moderate
254,254,254,252,252,252,0.4,Poor
88,21,39,70,68,61,25.85,Moderate
227,227,227,208,209,214,4.83,Poor
27,36,54,28,28,28,10.52,Poor
104,30,20,81,79,79,23.7,Poor
254,254,254,223,224,224,6.37,Poor
254,254,254,63,68,76,59.22,Good
155,154,159,52,55,53,38.28,Moderate
189,190,192,238,238,236,11.39,Poor
42,41,43,247,248,250,74.06,Good
178,178,178,49,63,69,47.29,Moderate
27,27,26,50,63,69,12.83,Poor
254,254,254,251,251,250,0.82,Poor
252,254,251,154,157,160,23.84,Poor
254,254,254,155,157,161,23.76,Poor
182,23,21,244,243,241,53.34,Good
254,254,254,244,243,241,2.45,Poor
254,254,254,253,253,251,1.09,Poor
254,254,254,253,253,251,1.09,Poor
198,51,36,155,156,160,34.24,Moderate
44,44,44,154,156,160,41.47,Moderate
45,39,40,254,254,254,75.56,Good
254,254,254,254,254,254,0.0,Poor
234,234,234,89,96,78,44.21,Moderate
254,254,254,213,212,216,9.22,Poor
253,253,253,213,212,215,8.93,Poor
254,254,254,244,244,244,2.02,Poor
254,254,253,244,244,244,2.08,Poor
254,254,254,155,157,154,23.92,Poor
254,254,254,155,157,154,23.92,Poor
254,254,254,252,252,252,0.4,Poor
155,166,186,208,209,214,13.49,Poor
253,252,251,208,209,214,9.84,Poor
254,254,254,28,28,28,84.7,Good
198,51,36,244,245,244,48.63,Moderate
207,179,116,28,28,28,61.17,Good
254,254,254,81,79,79,53.04,Good
226,94,83,241,240,238,37.83,Moderate
98,89,80,254,254,254,48.32,Moderate
28,28,28,254,254,254,84.7,Good
254,254,254,126,103,75,43.35,Moderate
77,74,111,53,21,6,28.4,Moderate
36,41,80,239,238,238,72.93,Good
76,74,111,38,37,40,19.39,Poor
12,20,45,229,225,220,83.68,Good
254,254,254,220,196,170,17.33,Poor
254,253,253,127,127,111,34.64,Moderate
115,32,48,181,180,174,53.34,Good
227,224,223,24,24,26,80.74,Good
254,254,254,133,137,117,32.28,Moderate
177,180,204,16,19,26,59.89,Good
253,253,253,253,253,253,0.0,Poor
45,46,49,193,190,187,57.63,Good
32,34,50,253,253,253,79.79,Good
251,251,252,254,253,253,0.76,Poor
254,254,254,45,51,57,69.13,Good
60,16,21,251,249,248,83.72,Good
174,12,48,251,249,248,55.45,Good
239,237,238,254,254,253,3.75,Poor
221,177,190,112,57,24,48.72,Moderate
254,254,254,254,254,254,0.0,Poor
213,192,239,236,236,236,20.04,Poor
93,33,43,253,253,253,70.35,Good
253,253,254,74,105,123,44.86,Moderate
252,253,253,247,247,247,1.27,Poor
55,81,158,131,126,121,30.81,Moderate
253,253,254,131,126,121,33.54,Moderate
253,253,254,249,249,248,1.36,Poor
253,253,253,252,252,252,0.2,Poor
254,254,254,254,254,254,0.0,Poor
39,155,212,134,127,117,28.8,Moderate
232,232,232,88,49,85,61.61,Good
15,21,101,68,56,141,11.42,Poor
252,252,252,169,168,166,20.02,Poor
23,20,26,211,203,199,71.12,Good
249,249,250,251,250,249,1.08,Poor
217,220,241,241,241,241,10.1,Poor
253,254,254,49,54,57,67.21,Good
254,254,254,143,141,136,28.75,Moderate
185,39,53,233,232,237,49.09,Moderate
253,254,254,233,232,235,4.89,Poor
251,253,253,236,235,232,4.08,Poor
63,72,109,230,230,228,54.54,Good
193,206,229,212,213,210,11.76,Poor
36,35,38,100,117,129,28.2,Moderate
142,138,139,233,233,229,25.43,Moderate
250,251,253,118,115,113,37.15,Moderate
181,196,225,45,30,33,65.26,Good
192,176,187,237,237,237,16.53,Poor
254,254,253,237,237,237,3.51,Poor
251,251,251,66,77,61,56.39,Good
26,40,57,203,198,198,64.78,Good
217,215,215,155,138,121,22.77,Poor
200,11,22,128,106,88,24.82,Poor
234,233,231,253,253,253,4.25,Poor
30,174,110,254,254,254,35.7,Moderate
247,224,199,229,227,211,8.99,Poor
8,110,96,225,223,222,45.29,Moderate
252,254,253,214,232,216,11.22,Poor
253,254,253,254,254,253,0.5,Poor
218,216,216,185,185,183,8.01,Poor
254,254,254,31,31,31,82.35,Good
240,234,230,252,240,244,5.55,Poor
253,253,253,243,243,242,2.11,Poor
225,227,225,140,125,102,30.1,Moderate
200,199,199,228,228,228,6.74,Poor
228,228,227,160,161,161,17.19,Poor
240,234,230,243,243,243,3.51,Poor
30,35,53,49,26,26,15.96,Poor
239,234,230,185,180,173,13.12,Poor
68,95,121,210,210,210,40.73,Moderate
14,78,92,28,26,27,23.83,Poor
240,233,230,240,240,239,3.49,Poor
240,234,230,94,77,60,50.13,Good
183,178,175,180,156,124,13.36,Poor
227,228,227,170,156,141,19.86,Poor
237,233,231,87,91,85,44.94,Moderate
239,240,238,238,238,238,1.34,Poor
231,232,231,237,237,237,1.41,Poor
230,228,231,237,237,237,2.75,Poor
199,198,197,38,32,32,64.95,Good
253,253,253,230,229,228,5.01,Poor
30,62,94,238,238,238,62.52,Good
234,235,233,254,254,253,4.05,Poor
254,254,254,252,252,251,0.68,Poor
28,28,30,238,238,238,82.55,Good
254,254,252,238,238,238,3.41,Poor
231,131,146,238,238,238,30.84,Moderate
244,125,47,230,230,228,33.27,Moderate
188,190,187,254,254,253,14.69,Poor
130,26,41,254,254,254,64.13,Good
254,254,253,231,219,195,12.15,Poor
118,44,63,199,194,193,51.88,Good
240,228,213,120,121,127,32.53,Moderate
237,180,73,239,239,239,28.25,Moderate
194,187,143,224,222,219,16.88,Poor
240,232,229,127,127,111,31.11,Moderate
241,241,241,229,232,235,2.72,Poor
13,141,151,211,207,203,33.11,Moderate
231,231,231,226,224,220,2.58,Poor
229,228,223,241,241,242,4.18,Poor
248,239,223,244,242,240,6.24,Poor
254,254,253,237,237,237,3.51,Poor
254,254,254,250,250,249,0.98,Poor
110,46,66,14,14,14,27.36,Moderate
80,29,61,234,228,234,69.49,Good
236,243,247,76,79,75,51.83,Good
55,18,27,75,30,35,5.28,Poor
238,238,238,197,192,193,10.74,Poor
227,227,227,220,220,222,1.88,Poor
246,246,246,230,229,228,3.62,Poor
254,254,253,254,254,254,0.54,Poor
242,242,242,254,254,254,2.43,Poor
236,237,237,238,238,238,0.57,Poor
185,109,98,238,238,238,36.82,Moderate
185,109,98,45,47,52,37.57,Moderate
254,253,254,79,71,56,57.36,Good
254,254,253,229,230,225,5.56,Poor
253,254,254,230,229,228,5.23,Poor
26,50,71,230,229,234,67.85,Good
238,161,19,195,195,194,28.3,Moderate
241,233,230,191,188,179,11.91,Poor
81,53,79,232,229,224,61.07,Good
227,227,227,239,240,238,3.01,Poor
225,228,231,230,229,228,2.52,Poor
228,228,228,169,171,174,14.38,Poor
228,228,228,254,254,254,5.42,Poor
228,228,228,206,209,213,4.96,Poor
225,227,229,230,230,229,1.82,Poor
254,254,254,62,54,44,66.34,Good
228,228,227,168,143,116,25.22,Moderate
254,253,253,234,234,236,4.07,Poor
232,231,227,251,250,250,4.55,Poor
239,239,238,217,217,217,4.85,Poor
247,247,247,220,219,219,6.0,Poor
254,254,254,217,217,217,7.88,Poor
254,254,254,220,219,219,7.4,Poor
238,238,238,252,252,251,2.91,Poor
253,253,253,43,44,53,72.78,Good
254,253,253,253,253,253,0.5,Poor
44,47,59,236,236,232,68.96,Good
238,238,238,252,253,252,3.12,Poor
238,238,238,183,178,173,14.55,Poor
197,199,196,254,254,254,12.51,Poor
247,246,248,229,228,227,4.18,Poor
73,37,38,229,228,227,69.17,Good
242,242,241,253,253,253,2.31,Poor
228,228,228,254,254,254,5.42,Poor
